IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,58,18.90
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,14.05
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,210,13.26
8.210.192.93,8880,8880,false,HKG,Asia Pacific,Hong Kong,49,13.04
8.218.155.238,2052,2052,false,HKG,Asia Pacific,Hong Kong,58,12.57
8.218.142.253,2095,2095,false,HKG,Asia Pacific,Hong Kong,59,12.16
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,12.04
47.242.79.71,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,11.91
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,89,11.42
47.242.79.71,2086,2086,false,HKG,Asia Pacific,Hong Kong,56,10.75
8.217.121.207,2082,2082,false,HKG,Asia Pacific,Hong Kong,61,10.53
8.218.74.119,8880,8880,false,HKG,Asia Pacific,Hong Kong,62,10.19
47.243.60.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,10.18
47.243.60.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,10.15
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,48,10.08
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,49,10.04
8.210.192.93,2095,2095,false,HKG,Asia Pacific,Hong Kong,51,10.04
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,50,9.45
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,9.44
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,9.28
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,9.22
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,9.19
8.217.250.222,2082,2082,false,HKG,Asia Pacific,Hong Kong,58,9.15
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,9.10
8.210.3.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,54,8.99
8.210.3.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,8.98
47.243.60.150,2052,2052,false,HKG,Asia Pacific,Hong Kong,57,8.76
47.243.60.150,2086,2086,false,HKG,Asia Pacific,Hong Kong,58,8.75
47.243.74.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,8.65
47.243.107.148,2096,2096,true,HKG,Asia Pacific,Hong Kong,50,8.48
47.243.107.148,2095,2095,false,HKG,Asia Pacific,Hong Kong,52,8.47
47.242.157.96,2086,2086,false,HKG,Asia Pacific,Hong Kong,60,8.41
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,8.23
8.218.53.110,2082,2082,false,HKG,Asia Pacific,Hong Kong,57,8.06
8.210.192.93,2052,2052,false,HKG,Asia Pacific,Hong Kong,62,7.93
8.218.222.36,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,7.82
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,54,7.81
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,56,7.76
34.92.120.85,443,443,true,HKG,Asia Pacific,Hong Kong,198,7.71
47.243.90.180,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,7.54
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,61,7.38
47.242.79.71,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,6.97
47.243.90.180,2095,2095,false,HKG,Asia Pacific,Hong Kong,56,6.92
8.217.207.60,2082,2082,false,HKG,Asia Pacific,Hong Kong,57,6.86
8.218.142.253,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,6.83
47.76.159.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,57,6.82
8.218.155.238,2086,2086,false,HKG,Asia Pacific,Hong Kong,50,6.58
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,6.44
8.210.65.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,5.77
8.218.211.17,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,5.72
